清洗后名称,标准名称,部位（一级）,部位（二级）,部位,检查方式,特征,性别
胸部DR侧位检查(不出片),（胸）DR,胸,,胸,DR,侧位,
DR-胸部侧位,（胸）DR,胸,,胸,DR,侧位,
DR胸部正位片(孕者禁),（胸）DR,胸,,胸,DR,正位,
DR胸部正位片(赠送),（胸）DR,胸,,胸,DR,正位,
胸部正位DR(胶片),（胸）DR,胸,,胸,DR,正位,
胸部DR升级胸部CT(孕者禁),（胸）CT,胸,,胸,CT,,
胸部正侧位片DR(不含片),（胸）DR,胸,,胸,DR,正位|侧位,
K-DR胸部正侧位检查(不含片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部侧位片DR,（胸）DR,胸,,胸,DR,侧位,
胸部CT活动,（胸）CT,胸,,胸,CT,,
胸部CT(平扫),（胸）CT,胸,,胸,CT,,
DR胸正位片,（胸）DR,胸,,胸,DR,正位,
※CT扫描(胸部),（胸）CT,胸,,胸,CT,,
团检CT胸部(不出片)1,（胸）CT,胸,,胸,CT,,
团检CT胸部(不出片)6,（胸）CT,胸,,胸,CT,,
胸部正位片N(不含片),（胸）DR,胸,,胸,DR,正位,
DR-胸部正侧位片(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
K-(职业)后前位X线高千伏胸部DR,（胸）DR,胸,,胸,DR,,
胸部正位DR片,（胸）DR,胸,,胸,DR,正位,
胸部侧位片-不出片,（胸）DR,胸,,胸,DR,侧位,
胸部侧位DR(不出片),（胸）DR,胸,,胸,DR,侧位,
胸部CT活动(不出片),（胸）CT,胸,,胸,CT,,
CT检查(胸部)(不含片),（胸）CT,胸,,胸,CT,,
胸肺平扫CT,（胸|肺）CT,胸,肺,胸|肺,CT,,
胸部DR正侧位检查(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
VIP胸部CT,（胸）CT,胸,,胸,CT,,
低剂量胸部CT扫描(胶片),（胸）CT,胸,,胸,CT,低剂量,
DR胸部正位片(无胶片),（胸）DR,胸,,胸,DR,正位,
(重庆宝石花)DR胸部正侧位片,（胸）DR,胸,,胸,DR,正位|侧位,
计算机断层扫描(胸部),（胸）CT,胸,,胸,CT,,
胸部CT(赠送),（胸）CT,胸,,胸,CT,,
DR胸片(正|侧位片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部双肺CT(含胶片),（胸|肺）CT,,肺,胸|肺,CT,,
螺旋CT(胸部)不含片促销,（胸）CT,胸,,胸,CT,螺旋,
胸部CT(优惠加项专用),（胸）CT,胸,,胸,CT,,
DR胸部(侧位)检查,（胸）DR,胸,,胸,DR,侧位,
胸部正位检查(不含片),（胸）DR,胸,,胸,DR,正位,
DR胸部检查,（胸）DR,胸,,胸,DR,,
CT胸肺(DR升级),（胸|肺）CT,胸,肺,胸|肺,CT,,
胸片,（胸）DR,胸,,胸,DR,,
胸片(正位片)0,（胸）DR,胸,,胸,DR,正位,
HKV胸片,（胸）DR,胸,,胸,DR,,
DR-胸部正侧位(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位DR检查(不出片),（胸）DR,胸,,胸,DR,正位,
胸部正位DR(大连),（胸）DR,胸,,胸,DR,正位,
胸部正位,（胸）DR,胸,,胸,DR,正位,
胸部CT检测(1),（胸）CT,胸,,胸,CT,,
DR检查-胸部正位(不含片),（胸）DR,胸,,胸,DR,正位,
胸片正位(问图),（胸）DR,胸,,胸,DR,正位,
胸片(正位片)B,（胸）DR,胸,,胸,DR,正位,
DR胸部正侧位片(出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR升级CT定位,（胸）CT,胸,,胸,CT,,
DR胸部正侧位(不含片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位DR(怀孕备孕禁忌),（胸）DR,胸,,胸,DR,正位,
胸正位A,（胸）DR,胸,,胸,DR,正位,
高千伏胸片A,（胸）DR,胸,,胸,DR,,
DR胸部(正侧位),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位片DR(含片),（胸）DR,胸,,胸,DR,正位,
低剂量胸部CT扫描(团检),（胸）CT,胸,,胸,CT,低剂量,
免费CT胸部扫描,（胸）CT,胸,,胸,CT,,
胸部CT(延期),（胸）CT,胸,,胸,CT,,
低剂量螺旋CT胸椎平扫,（胸椎）CT,胸,胸椎,胸椎,CT,低剂量|螺旋,
胸部正位S(含片),（胸）DR,胸,,胸,DR,正位,
丽水-胸部CT,（胸）CT,胸,,胸,CT,,
X线胸部正位片(DR),（胸）DR,胸,,胸,DR,正位,
胸部侧位检查(不出片),（胸）DR,胸,,胸,DR,侧位,
DR胸部透视(备孕|孕禁),（胸）DR,胸,,胸,DR,,
胸部CT(安溪),（胸）CT,胸,,胸,CT,,
2019胸部正位片,（胸）DR,胸,,胸,DR,正位,
胸部正侧DR(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位片检查(艾诺),（胸）DR,胸,,胸,DR,正位,
胸部DR正侧位(不含片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正侧位DR片(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部正位片(不出片)(职),（胸）DR,胸,,胸,DR,正位,
CT检查(胸部)负一楼,（胸）CT,胸,,胸,CT,,
胸部正|侧位DR,（胸）DR,胸,,胸,DR,正位|侧位,
胸片升级肺部CT(不出片),（肺）CT,,肺,肺,CT,,
CT检查(胸部)(不含出片),（胸）CT,胸,,胸,CT,,
胸部DR正|侧位(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT(不出片)负1楼,（胸）CT,胸,,胸,CT,,
胸部DR(不含片),（胸）DR,胸,,胸,DR,,
胸部正侧位片DR(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR正位(贵宾),（胸）DR,胸,,胸,DR,正位,
DR检查(胸部正位片),（胸）DR,胸,,胸,DR,正位,
胸部DR,（胸）DR,胸,,胸,DR,,
胸部正侧位(出片),（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部正位(职业病),（胸）DR,胸,,胸,DR,正位,
CT检查(颅脑|胸部二选一),（颅脑|胸）CT,头胸,,颅脑|胸,CT,,
胸部CT(HD),（胸）CT,胸,,胸,CT,,
DR胸部正位片(不出片)负1楼,（胸）DR,胸,,胸,DR,正位,
胸部正侧位DR片,（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部正位片(KV),（胸）DR,胸,,胸,DR,正位,
胸正位片,（胸）DR,胸,,胸,DR,正位,
胸部(正位)DR,（胸）DR,胸,,胸,DR,正位,
CT检查(胸部)不含片,（胸）CT,胸,,胸,CT,,
慈铭-胸部正侧位DR,（胸）DR,胸,,胸,DR,正位|侧位,
胸CT,（胸）CT,胸,,胸,CT,,
64排CT胸部(不出片),（胸）CT,胸,,胸,CT,64排,
胸部正侧位检查DR片(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
CT胸部检查(不出片),（胸）CT,胸,,胸,CT,,
CT胸部(AY)(巴南第二部位),（胸）CT,胸,,胸,CT,,
CT检查(胸部)(赠送)(不出片),（胸）CT,胸,,胸,CT,,
胸部侧位片DR(不出片),（胸）DR,胸,,胸,DR,侧位,
CT检查-胸部(含1张胶片),（胸）CT,胸,,胸,CT,,
DR胸部侧位,（胸）DR,胸,,胸,DR,侧位,
DDR胸部侧位片,（胸）DDR,胸,,胸,DDR,侧位,
DR胸部正侧位(出片),（胸）DR,胸,,胸,DR,正位|侧位,
(3楼)螺旋CT(胸部),（胸）CT,胸,,胸,CT,螺旋,
胸部CT检查(2楼CT室),（胸）CT,胸,,胸,CT,,
胸片(正位片)C,（胸）DR,胸,,胸,DR,正位,
DDR胸部侧位片(不出片),（胸）DDR,胸,,胸,DDR,侧位,
胸部正侧位DR(大连),（胸）DR,胸,,胸,DR,正位|侧位,
CT-胸部(团优),（胸）CT,胸,,胸,CT,,
X线普通胸部透视,（胸）胸透,胸,,胸,胸透,,
胸部CT(加项-不含片),（胸）CT,胸,,胸,CT,,
胸片(正侧位片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位DR片(出片),（胸）DR,胸,,胸,DR,正位,
DR胸部正位(胶片),（胸）DR,胸,,胸,DR,正位,
胸部正位DR(出片),（胸）DR,胸,,胸,DR,正位,
CT检查(胸部)(两张片),（胸）CT,胸,,胸,CT,,
胸部透视(外),（胸）胸透,胸,,胸,胸透,,
计算机断层扫描(胸部出片),（胸）CT,胸,,胸,CT,,
胸部CT(两张片),（胸）CT,胸,,胸,CT,,
DR胸部正检查,（胸）DR,胸,,胸,DR,正位,
胸部低剂量CT,（胸）CT,胸,,胸,CT,低剂量,
胸部低剂量CT-不出片,（胸）CT,胸,,胸,CT,低剂量,
(JZ)CR胸部正位片,（胸）CR,胸,,胸,CR,正位,
检查项目(胸肺CT)出片,（胸|肺）CT,胸,肺,胸|肺,CT,,
低剂量胸部螺旋CT扫描(孕者禁),（胸）CT,胸,,胸,CT,低剂量|螺旋,
DR(胸部侧位),（胸）DR,胸,,胸,DR,侧位,
胸部CT(赠送)(出片),（胸）CT,胸,,胸,CT,,
CT(胸部平扫)(赠送),（胸）CT,胸,,胸,CT,,
CT检查(胸部)(胶片),（胸）CT,胸,,胸,CT,,
CT胸部CT,（胸）CT,胸,,胸,CT,,
透视检查(胸部透视),（胸）胸透,胸,,胸,胸透,,
DR胸部正侧位摄片,（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部正位(不出片)(建议怀备孕人士不做),（胸）DR,胸,,胸,DR,正位,
低剂量胸部CT扫描(64排),（胸）CT,胸,,胸,CT,低剂量|64排,
CT-胸部CT,（胸）CT,胸,,胸,CT,,
VIP-胸正位片,（胸）DR,胸,,胸,DR,正位,
胸椎正侧位(DR),（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
CT胸部(赠送),（胸）CT,胸,,胸,CT,,
胸部CT(季度活动),（胸）CT,胸,,胸,CT,,
胸部螺旋CT断层扫描(出片),（胸）CT,胸,,胸,CT,螺旋,
胸部CT平扫(出片),（胸）CT,胸,,胸,CT,,
CT检查(胸部不出片),（胸）CT,胸,,胸,CT,,
胸部低剂量CT扫描,（胸）CT,胸,,胸,CT,低剂量,
DR-胸部正侧位,（胸）DR,胸,,胸,DR,正位|侧位,
胸部侧位DR检查,（胸）DR,胸,,胸,DR,侧位,
职业健康体检项目:DR胸部摄片,（胸）DR,胸,,胸,DR,,
胸部CT:64排(不出片),（胸）CT,胸,,胸,CT,64排,
八月促销胸部CT,（胸）CT,胸,,胸,CT,,
胸部CT出片(16),（胸）CT,胸,,胸,CT,16排,
CT检查(胸部)(赠送),（胸）CT,胸,,胸,CT,,
胸部CT(套餐),（胸）CT,胸,,胸,CT,,
胸部正|侧位片,（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位片DR(3楼DR室),（胸）DR,胸,,胸,DR,正位,
胸部正|侧位片(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT不出片(赠送),（胸）CT,胸,,胸,CT,,
DR胸部(不出片),（胸）DR,胸,,胸,DR,,
胸部DR正侧位检查-无图文,（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部正|侧位检查,（胸）DR,胸,,胸,DR,正位|侧位,
胸部64排螺旋平扫(CT),（胸）CT,胸,,胸,CT,螺旋|64排,
胸部CT(2T),（胸）CT,胸,,胸,CT,,
胸部CT(2017),（胸）CT,胸,,胸,CT,,
胸部正位DR(含片),（胸）DR,胸,,胸,DR,正位,
胸透正位(健康证),（胸）CT,胸,,胸,CT,正位,
职业健康体检项目:DR胸部摄片(不含胶片),（胸）DR,胸,,胸,DR,,
胸部CT薄扫,（胸）CT,胸,,胸,CT,,
胸部正位片(不含胶片),（胸）DR,胸,,胸,DR,正位,
CT胸部扫描,（胸）CT,胸,,胸,CT,,
胸部侧位DR检查(不含片),（胸）DR,胸,,胸,DR,侧位,
DR胸片(职),（胸）DR,胸,,胸,DR,,
胸部正侧位DR(含片),（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部正位(不出片)HD,（胸）DR,胸,,胸,DR,正位,
DR胸部正位片(2T),（胸）DR,胸,,胸,DR,正位,
胸部正位检查(不含出片),（胸）DR,胸,,胸,DR,正位,
胸片正侧位B,（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR正侧位片,（胸）DR,胸,,胸,DR,正位|侧位,
胸部侧位DR,（胸）DR,胸,,胸,DR,侧位,
胸片正侧位DR(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR正位检查(胶片),（胸）DR,胸,,胸,DR,正位,
胸部DR正侧位,（胸）DR,胸,,胸,DR,正位|侧位,
胸片(正位片)(DR),（胸）DR,胸,,胸,DR,正位,
DR胸部侧位片,（胸）DR,胸,,胸,DR,侧位,
CT检查(胸部)(全民),（胸）CT,胸,,胸,CT,,
职业健康检查(DR胸片),（胸）DR,胸,,胸,DR,,
胸部DR正位,（胸）DR,胸,,胸,DR,正位,
胸部正位片(单片),（胸）DR,胸,,胸,DR,正位,
低剂量胸部CT(备孕|孕禁)不出片,（胸）CT,胸,,胸,CT,低剂量,
胸部侧位DR片(不出片),（胸）DR,胸,,胸,DR,侧位,
低剂量胸部CT扫描(三维哺乳|备孕|孕者禁),（胸）CT,胸,,胸,CT,低剂量,
胸部正位DR升级肺部CT(不含片),（肺）CT,,肺,肺,CT,,
DR胸部正侧位(含片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正侧位片(DR),（胸）DR,胸,,胸,DR,正位|侧位,
职业健康检查-胸部正位DR摄片(胶片),（胸）DR,胸,,胸,DR,正位,
DR胸片正位片(职业健康检查),（胸）DR,胸,,胸,DR,正位,
胸片正侧位C,（胸）DR,胸,,胸,DR,正位|侧位,
胸部X线侧位片(不含片),（胸）DR,胸,,胸,DR,侧位,
胸片(正|侧位片)(不含片),（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部正位片(不出片)(BN),（胸）DR,胸,,胸,DR,正位,
DR检查-胸部正侧位(不含片),（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部正位(含片),（胸）DR,胸,,胸,DR,正位,
胸部CT不出片(64),（胸）CT,胸,,胸,CT,,
胸片(正位片)赠送,（胸）DR,胸,,胸,DR,正位,
胸片(外),（胸）DR,胸,,胸,DR,,
CT胸部肺部平扫,（胸|肺）CT,,肺,胸|肺,CT,,
胸椎正侧位,（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
胸部正侧位片(不含片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT体层扫描(不出片),（胸）CT,胸,,胸,CT,,
DR胸部正斜位(不出片),（胸）DR,胸,,胸,DR,正位|斜位,
DR高千伏胸片(不出片),（胸）DR,胸,,胸,DR,,
胸部正侧位片(DR不出片),（胸）DR,胸,,胸,DR,正位|侧位,
DR检查(胸部正侧位),（胸）DR,胸,,胸,DR,正位|侧位,
CT胸(赠),（胸）CT,胸,,胸,CT,,
CT2(胸部)->DR胸部正位片,（胸）DR,胸,,胸,DR,,
胸部正|侧位DR(不含片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR正侧位检查(胶片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部侧位(DR),（胸）DR,胸,,胸,DR,侧位,
优惠胸部CT(出片),（胸）CT,胸,,胸,CT,,
胸部CT(111),（胸）CT,胸,,胸,CT,,
胸CT(20层),（胸）CT,胸,,胸,CT,,
胸部侧位检查DR,（胸）DR,胸,,胸,DR,侧位,
胸部正斜位(DR),（胸）DR,胸,,胸,DR,正位|斜位,
胸部CT(199),（胸）CT,胸,,胸,CT,,
CT胸部正位检(不出片)-南安,（胸）CT,胸,,胸,CT,,
DR胸片(正|侧位片)(2T),（胸）DR,胸,,胸,DR,正位|侧位,
CT-胸部(不出片)(未开展待通知),（胸）CT,胸,,胸,CT,,
CT(胸肺)(赠送),（胸|肺）CT,胸,肺,胸|肺,CT,,
DR胸部正位片(不出片)(赠送),（胸）DR,胸,,胸,DR,正位,
胸部CT(职业病),（胸）CT,胸,,胸,CT,,
胸部正侧位(含片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位片(一张片),（胸）DR,胸,,胸,DR,正位,
胸部CT平扫+三维重建,（胸）CT,胸,,胸,CT,,
胸部CT-活动,（胸）CT,胸,,胸,CT,,
胸片(侧位片),（胸）DR,胸,,胸,DR,侧位,
胸部DR正位透视检查(不出片),（胸）DR,胸,,胸,DR,正位,
CT检查(胸部凭卡),（胸）CT,胸,,胸,CT,,
胸部正|侧位(DR)-不含片,（胸）DR,胸,,胸,DR,正位|侧位,
胸部正侧位,（胸）DR,胸,,胸,DR,正位|侧位,
胸片(正侧位片)-不出片,（胸）DR,胸,,胸,DR,正位|侧位,
CT胸椎平扫,（胸椎）CT,胸,胸椎,胸椎,CT,,
VDR胸部正侧位片(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR(正侧位胶片),（胸）DR,胸,,胸,DR,正位|侧位,
OY胸部正位DR(不出片),（胸）DR,胸,,胸,DR,正位,
DR胸部(侧位不出片),（胸）DR,胸,,胸,DR,侧位,
胸部右前斜位片,（胸）DR,胸,,胸,DR,右前斜位,
(JZ)DR胸部正位片,（胸）DR,胸,,胸,DR,正位,
DR-胸部正位片(不出片)(未开展待通知),（胸）DR,胸,,胸,DR,正位,
DR胸部正侧位检查(孕者禁),（胸）DR,胸,,胸,DR,正位|侧位,
DR胸椎正位检查,（胸椎）DR,胸,胸椎,胸椎,DR,正位,
DR胸部侧位片(哺乳|备孕|孕者禁),（胸）DR,胸,,胸,DR,侧位,
胸部(肺部)CT(下午),（胸|肺）CT,胸,肺,胸|肺,CT,,
DR胸部(正位)(不出片),（胸）DR,胸,,胸,DR,正位,
DR胸椎正侧位检查,（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
胸部CT(基因及胶囊胃镜赠送),（胸）CT,胸,,胸,CT,,
胸部CT(赠送)(不含出片),（胸）CT,胸,,胸,CT,,
胸部CT(不含片)赠送,（胸）CT,胸,,胸,CT,,
同安/CT胸部检查,（胸）CT,胸,,胸,CT,,
CT胸部(AY)(江南江北第二部位),（胸）CT,胸,,胸,CT,,
 +49CT(头|甲状腺|胸)选一,（头|甲状腺|胸）CT,头胸,,头|甲状腺|胸,CT,,
DR胸部正侧位片(孕者禁),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正侧位(DR),（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT(赣州),（胸）CT,胸,,胸,CT,,
胸部CT(3楼CT室),（胸）CT,胸,,胸,CT,,
胸片正侧位,（胸）DR,胸,,胸,DR,正位|侧位,
胸部侧位(不出片)备孕勿做,（胸）DR,胸,,胸,DR,侧位,
DDR胸?正位片,（胸）DDR,胸,,胸,DDR,正位,
胸部侧位DR(不含片),（胸）DR,胸,,胸,DR,侧位,
DR胸部侧位检查(不出片),（胸）DR,胸,,胸,DR,侧位,
胸椎CT(不出片),（胸椎）CT,胸,胸椎,胸椎,CT,,
DR胸椎正侧位片(AY),（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
DR胸部侧位(不出片),（胸）DR,胸,,胸,DR,侧位,
胸部正侧位DR(出片),（胸）DR,胸,,胸,DR,正位|侧位,
DR胸部正侧检查,（胸）DR,胸,,胸,DR,正位|侧位,
CT-胸部(活动),（胸）CT,胸,,胸,CT,,
CT-胸部B,（胸）CT,胸,,胸,CT,,
胸部CT(赠送)(不含片),（胸）CT,胸,,胸,CT,,
胸部正侧位检查(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部正位片DR(图文报告),（胸）DR,胸,,胸,DR,正位,
DR胸椎正侧位片(不出片),（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
胸部正位DR(不?片),（胸）DR,胸,,胸,DR,正位,
团检CT胸部(出片)1,（胸）CT,胸,,胸,CT,,
胸部DR侧位检查(图文),（胸）DR,胸,,胸,DR,侧位,
DR检查(胸部正位)(不含片),（胸）DR,胸,,胸,DR,正位,
0胸片(正位片),（胸）DR,胸,,胸,DR,正位,
胸部DR正位检查赠送,（胸）DR,胸,,胸,DR,正位,
螺旋CT(胸椎)(无片),（胸椎）CT,胸,胸椎,胸椎,CT,螺旋,
胸部正斜位片,（胸）DR,胸,,胸,DR,正斜位,
DR胸部(侧位),（胸）DR,胸,,胸,DR,侧位,
赠送项目:胸部CT(不出片),（胸）CT,胸,,胸,CT,,
胸部正侧位片(单片),（胸）DR,胸,,胸,DR,正位|侧位,
CT胸椎检查,（胸椎）CT,胸,胸椎,胸椎,CT,,
胸部CT(含胶片,（胸）CT,胸,,胸,CT,,
DR胸椎正侧位片,（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
平安人寿DR胸部正位单片(不出片),（胸）DR,胸,,胸,DR,正位,
胸?正位检查,（胸）DR,胸,,胸,DR,正位,
胸部CT检测(ZS),（胸）CT,胸,,胸,CT,,
DR胸部正侧位片(不出片)(BN),（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR升级CT,（胸）CT,胸,,胸,CT,,
胸椎正位片,（胸椎）DR,胸,胸椎,胸椎,DR,正位,
胸片(正位片)A(不含片),（胸）DR,胸,,胸,DR,正位,
胸部CT(BN),（胸）CT,胸,,胸,CT,,
CT胸部平扫(赠送)N,（胸）CT,胸,,胸,CT,,
胸部DR侧位片,（胸）DR,胸,,胸,DR,侧位,
胸部?位检查,（胸）DR,胸,,胸,DR,,
胸部CT平扫+三维重建(不出片),（胸）CT,胸,,胸,CT,,
DR-胸椎正侧位(不出片),（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
胸?(正位片),（胸）DR,胸,,胸,DR,正位,
胸部DR侧位检查,（胸）DR,胸,,胸,DR,侧位,
K-(职业)胸部DR正位,（胸）DR,胸,,胸,DR,正位,
CT检查项目(胸部),（胸）CT,胸,,胸,CT,,
团检赠送-胸部CT(不出片),（胸）CT,胸,,胸,CT,,
DR正位胸片(职业病不含片),（胸）DR,胸,,胸,DR,正位,
胸部CT(0元),（胸）CT,胸,,胸,CT,,
升级CT(胸部)(2T),（胸）CT,胸,,胸,CT,,
低剂量胸部CT扫描(哺乳|备孕|孕者禁),（胸）CT,胸,,胸,CT,低剂量,
头胸颈腰CT(四选一),（头|胸|颈|腰）CT,头颈胸腰,,头|胸|颈|腰,CT,,
胸部螺旋CT扫描(孕者禁),（胸）CT,胸,,胸,CT,螺旋,
胸部DR正位检查(出片),（胸）DR,胸,,胸,DR,正位,
DR胸正侧位片,（胸）DR,胸,,胸,DR,正位|侧位,
C-16(胸部低剂量)-不出片,（胸）CT,胸,,胸,CT,低剂量|16排,
CT检查(胸部)(不含片)(赠送),（胸）CT,胸,,胸,CT,,
胸椎正侧位片(不出片),（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
CT(胸部平扫)(不含片)A,（胸）CT,胸,,胸,CT,,
(JZ)DR胸部侧位检查(不含片),（胸）DR,胸,,胸,DR,侧位,
CT胸椎扫描(每三个椎体),（胸椎）CT,胸,胸椎,胸椎,CT,,
赠送-胸正位片,（胸）DR,胸,,胸,DR,正位,
胸椎正侧位DR,（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
胸部螺旋CT平扫(赠送),（胸）CT,胸,,胸,CT,螺旋,
DR胸部侧位(不含片),（胸）DR,胸,,胸,DR,侧位,
CT(头/颈/胸/腰)(加项),（头|颈|胸|腰）CT,头颈胸腰,,头|颈|胸|腰,CT,,
胸片正侧位(DR),（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR侧位检查(出片),（胸）DR,胸,,胸,DR,侧位,
胸部左侧位(不出片),（胸）DR,胸,,胸,DR,侧位,
胸部正|侧位DR片,（胸）DR,胸,,胸,DR,正位|侧位,
胸部侧位DR片(不含片),（胸）DR,胸,,胸,DR,侧位,
DR-胸部侧位片(不出片),（胸）DR,胸,,胸,DR,侧位,
胸部正侧位(DR不含片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT检查(孕者禁),（胸）CT,胸,,胸,CT,,
胸部正位(图文不出片),（胸）DR,胸,,胸,DR,正位,
胸部正位片检查DR,（胸）DR,胸,,胸,DR,正位,
CT(飞利浦)(胸部赠送),（胸）CT,胸,,胸,CT,,
胸椎CT,（胸椎）CT,胸,胸椎,胸椎,CT,,
胸部DR侧位(不出片),（胸）DR,胸,,胸,DR,侧位,
VIPDR胸部正位片(不出片),（胸）DR,胸,,胸,DR,正位,
胸片(正位片)D,（胸）DR,胸,,胸,DR,正位,
DR检查(胸部正侧位片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部DR正位-不含片,（胸）DR,胸,,胸,DR,正位,
DDR胸部正侧位片,（胸）DDR,胸,,胸,DDR,正位|侧位,
DR胸部(正位片),（胸）DR,胸,,胸,DR,正位,
胸部正?检查,（胸）DR,胸,,胸,DR,正位,
胸部正侧位DR(胶片),（胸）DR,胸,,胸,DR,正位|侧位,
胸部CT(前台办卡),（胸）CT,胸,,胸,CT,,
DR胸椎正侧位(不出片),（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
CT上腹部+胸部扫描(孕者禁),（胸|上腹部）CT,腹,,胸|上腹部,CT,,
胸部正位检查(不用),（胸）DR,胸,,胸,DR,正位,
(代金券)CT胸肺,（胸|肺）CT,胸,肺,胸|肺,CT,,
胸部右侧位(不出片),（胸）DR,胸,,胸,DR,侧位,
DR胸片不出片(职业病),（胸）DR,胸,,胸,DR,,
胸部CT(升级),（胸）CT,胸,,胸,CT,,
胸部CT(050科室),（胸）CT,胸,,胸,CT,,
胸部CTK,（胸）CT,胸,,胸,CT,,
胸片(正|侧位片)DR(不出片),（胸）DR,胸,,胸,DR,正位|侧位,
CT胸部检测(不含片)(省),（胸）CT,胸,,胸,CT,,
胸部正侧位片(出片),（胸）DR,胸,,胸,DR,正位|侧位,
胸椎正侧位片,（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
DDR胸部侧位片(孕者禁),（胸）DDR,胸,,胸,DDR,侧位,
DR-胸椎-正侧位,（胸椎）DR,胸,胸椎,胸椎,DR,正位|侧位,
胸部CT(一楼),（胸）CT,胸,,胸,CT,,
DR免费升级为胸部CT,（胸）CT,胸,,胸,CT,,
胸部正们DR(不出片),（胸）DR,胸,,胸,DR,正位,
DDR胸部正侧位片(孕者禁),（胸）DDR,胸,,胸,DDR,正位|侧位,
CT检查胸部+肩带骨,（胸）CT,胸,,胸,CT,,
DR胸部正位片(G),（胸）DR,胸,,胸,DR,正位,
CT检查胸椎(3个椎体)负一楼,（胸椎）CT,胸,胸椎,胸椎,CT,,
胸透(仅限外检),（胸）胸透,胸,,胸,胸透,,
胸部正侧位检查,（胸）DR,胸,,胸,DR,正位|侧位,
胸部正斜位DR,（胸）DR,胸,,胸,DR,正位|斜位,
MRI(胸椎),（胸椎）MRI,胸,胸椎,胸椎,MRI,,
"CT三选一(胸部,颈椎,腰椎)",（胸|颈椎|腰椎）CT,颈胸腰,,胸|颈椎|腰椎,CT,,
